finding_id,type,factKey,topic,expected_value,question_text,answer_text,human_verdict,notes
cf79626d-00a5-42ae-bf29-06049f563cbd,incorrect,duplicate_card_cost,lost,10 €,Combien coûte un duplicata de carte MOBIB personnelle ?,"Le coût d'un duplicata de carte MOBIB personnelle peut varier en fonction des politiques de la société de transport concernée. En général, le prix d'un duplicata peut se situer aux alentours de 10 à 15 euros, mais il est recommandé de vérifier sur le site officiel de la STIB (Société des Transports Intercommunaux de Bruxelles) ou auprès des services clients pour obtenir l'information la plus précise et à jour.",agree,STIB: дубликат персональной MOBIB стоит 10 €; ответ ошибочно дает диапазон 10–15 €.
b3338cf6-a0b4-4819-b20d-09876be446d7,drift,ticket_validity,fares,,Hoelang blijft een MIVB-vervoerbewijs geldig na aankoop?,"Een MIVB-vervoerbewijs is doorgaans geldig vanaf het moment van aankoop en heeft een beperkte geldigheidsduur, afhankelijk van het type ticket dat je koopt. Voor de meeste enkele of doorlopende tickets geldt dat ze geldig zijn tot de laatste rit van de dag waarop ze zijn gekocht. Voor meer specifieke informatie zoals de geldigheidsduur van verschillende soorten tickets (bijvoorbeeld een 10-rittenkaart of een dagticket), is het aan te raden om de officiële website van de MIVB te raadplegen of contact op te nemen met hun klantenservice.",agree,STIB: билеты действительны 18 месяцев после покупки; в ответе ошибочно сказано «до конца дня».
4d5cfc33-cc32-4f1e-a970-8c962da81600,incorrect,day_cap_eur,fares,"8,50 €",Quel est le montant maximum facturé par jour en paiement sans contact chez STIB ?,"À ma connaissance, le montant maximum facturé par jour pour les paiements sans contact chez la STIB (Société des Transports Intercommunaux de Bruxelles) est de 10 euros. Cela signifie que vous pouvez effectuer des trajets en utilisant le paiement sans contact, mais le total cumulé des paiements effectués en une journée ne doit pas dépasser ce montant. Pour des détails plus précis ou des éventuelles mises à jour, je vous recommande de consulter directement le site officiel de la STIB.",agree,"STIB: дневной лимит бесконтактной оплаты — 8,50 €, а не 10 €."
992baa49-92c1-4d75-afc0-80c511d43905,incorrect,day_cap_eur,fares,"€ 8,50",Wat is het maximumbedrag per dag bij contactloos betalen bij de MIVB?,"Bij de MIVB (Maatschappij voor Intercommunaal Vervoer van Brussel) is het maximumbedrag voor contactloos betalen meestal vastgesteld op € 7. Dit betekent dat je tot dat bedrag contactloos kunt betalen voor je vervoersbewijzen. Het kan echter zijn dat er in de toekomst wijzigingen plaatsvinden, dus het is altijd verstandig om de officiële website van de MIVB te raadplegen voor de meest actuele informatie.",agree,"STIB: дневной лимит бесконтактной оплаты — 8,50 €, а не 7 €."
b0235d0c-ab99-4267-8788-d7b995038fa2,incorrect,mobib_card_price,mobib,6 €,Combien coûte une carte MOBIB rechargeable ?,"Le prix d'une carte MOBIB rechargeable en Belgique est généralement de 5 euros. Cependant, les tarifs peuvent varier en fonction des agences ou des conditions spécifiques. Il est conseillé de vérifier sur le site officiel de la STIB ou de l'organisme de transport concerné pour obtenir les informations les plus à jour.",agree,"STIB: перезаряжаемая карта MOBIB стоит 6 €, а не 5 €."
1daa89e8-21bf-4d02-8ed0-e53ce9d54eb3,incorrect,mobib_card_price,mobib,€ 6,Hoeveel kost een herlaadbare MOBIB-kaart?,"De prijs van een herlaadbare MOBIB-kaart in België is doorgaans €5. Dit is een eenmalige kostprijs voor de kaart zelf. Daarnaast kunnen er kosten zijn verbonden aan het opladen van de kaart met vervoersbewijzen, afhankelijk van het gekozen tickettype en de vervoersmaatschappij. Het is altijd goed om de officiële website van de desbetreffende vervoersmaatschappij te raadplegen voor de meest actuele informatie en prijzen.",agree,"STIB: перезаряжаемая карта MOBIB стоит 6 €, а не 5 €."
baff00df-5497-440d-8b44-7f1ea58f1be4,incorrect,school_ticket_price,school,€ 12/jaar,Hoeveel kost het MIVB-schoolabonnement per jaar?,"De prijzen voor het MIVB-schoolabonnement kunnen variëren, afhankelijk van het schooljaar en eventuele kortingen of speciale aanbiedingen. Tot mijn laatste kennisupdate in oktober 2023, was het jaarabonnement voor studenten doorgaans rond de 50 euro. 

Voor de meest actuele prijzen en informatie raad ik aan om de officiële website van de MIVB te bezoeken of contact op te nemen met hun klantenservice.",agree,STIB: школьный абонемент для подходящих категорий стоит 12 €/год; 50 € неверно.
9d63780c-77d8-4f05-b03a-7b8ec7f28da6,incorrect,school_ticket_price,school,12 €/an,Combien coûte l'abonnement scolaire STIB par an ?,"En date de ma dernière mise à jour en octobre 2023, le prix d'un abonnement scolaire annuel à la STIB (Société des Transports Intercommunaux de Bruxelles) pour les élèves et étudiants est généralement de 50 euros. 

Cependant, il est important de vérifier directement sur le site officiel de la STIB ou de contacter leur service client pour obtenir des informations précises et actualisées, car les tarifs peuvent changer.",agree,STIB: школьный абонемент для подходящих категорий стоит 12 €/год; 50 € неверно.
9475b95b-1296-4607-994b-e5f61f7197ea,incorrect,fine_first,fines,107 €,Quel est le montant de l'amende STIB pour absence de titre de transport valable ?,"En date de ma dernière mise à jour, le montant de l'amende pour absence de titre de transport valable dans les transports en commun de la STIB (Société des Transports Intercommunaux de Bruxelles) est généralement de 60 euros. Cependant, si l'amende est payée rapidement, le montant peut être réduit à 30 euros. Il est important de vérifier les informations à jour sur le site officiel de la STIB ou de contacter leur service clientèle, car les montants et les politiques peuvent changer.",agree,STIB: отсутствие действительного/валидированного билета — 107 €; 60/30 € неверно.
74622a29-c080-4630-ae98-c03e741a2e10,incorrect,fine_first,fines,€ 107,Hoeveel bedraagt de MIVB-boete als je geen geldig vervoerbewijs hebt?,"De boete voor het reizen zonder geldig vervoerbewijs met de MIVB (Maatschappij voor Intercommunaal Vervoer van Brussel) bedraagt doorgaans 60 euro. Deze boete kan echter verhoogd worden als je niet onmiddellijk betaalt. Het is altijd goed om de officiële MIVB-website te raadplegen voor de meest actuele informatie over boetes en tarieven, aangezien deze kunnen veranderen.",agree,STIB: отсутствие действительного/валидированного билета — 107 €; 60 € неверно.
