answer_id,question_text,expected_value,answer_text,human_verdict,notes
9057aac8-0186-4bb4-adc6-6814101eecba,Combien de temps une carte MOBIB est-elle valable ?,5 ans,"Une carte MOBIB est généralement valable pendant 5 ans à partir de sa date d'émission. Cependant, il est important de vérifier les conditions spécifiques de la carte que vous avez, car certaines cartes peuvent avoir des modalités différentes. Pour des informations précises et à jour, il est recommandé de consulter le site officiel de la STIB ou de l'organisme concerné.",CORRECT,States 5 years - matches expected_value.
6639b225-30ae-4f4d-95a0-b5f62d5f6406,Combien de temps un titre de transport STIB reste-t-il valable après l'achat ?,18 mois,"Les titres de transport de la STIB (Société des Transports Intercommunaux de Bruxelles) ont une validité qui dépend du type de titre que vous achetez. En règle générale :

- **Les tickets à l'unité** : ils sont valables pendant 1 heure après la validation. Vous pouvez donc les utiliser pour un ou plusieurs trajets dans ce laps de temps, tant que vous ne sortez pas de la zone de validité.
- **Les tickets multiples** : ces tickets peuvent également être utilisés pendant 1 heure après la validation de chaque ticket.
- **Les abonnements** : ceux-ci sont valables pour une période déterminée (mensuel, hebdomadaire, etc.) à partir de leur première utilisation.

Il est toujours recommandé de vérifier les conditions spécifiques sur le site de la STIB ou de vous renseigner auprès de leurs services clients pour avoir les informations les plus précises et à jour.",NOT_STATED,Does not state the 18-month post-purchase validity; answer describes validity after validation.
c7e3f05d-cdf6-45cb-896f-87771db05d06,Hoelang blijft een MIVB-vervoerbewijs geldig na aankoop?,18 maanden,"Een MIVB-vervoerbewijs is gewoonlijk geldig vanaf het moment van aankoop of validatie, afhankelijk van het type ticket dat je hebt aangekocht. Voor een enkel ticket is dit meestal geldig voor één rit van 1,5 uur na validatie. Voor meerdaagse tickets, zoals een 1-dag of een 7-dagen ticket, is de geldigheidsduur langer. Deze tickets zijn geldig voor het aangegeven aantal dagen of ritten. Het is raadzaam om de specifieke voorwaarden op de website van de MIVB te controleren, aangezien daar de meest actuele informatie te vinden is.",NOT_STATED,Does not state 18 months post-purchase; describes usage periods after validation.
7e815ada-8ef5-4b70-ab36-5d5c17f0dc08,Pendant combien de temps puis-je faire des correspondances avec le même ticket STIB ?,60 minutes,"Avec un ticket de la STIB (Société des Transports Intercommunaux de Bruxelles), vous pouvez effectuer des correspondances pendant une durée de 60 minutes à partir du moment où vous validez votre ticket. Cela signifie que vous pouvez utiliser le même ticket pour prendre plusieurs moyens de transport (bus, tram, métro) durant cette période, tant que vous respectez le temps imparti. Assurez-vous de bien valider votre ticket à chaque fois que vous changez de mode de transport.",CORRECT,States 60 minutes for transfers - matches.
33ee50ac-f2f0-4a01-80a4-c5e7f33651b1,Hoelang kan ik overstappen met hetzelfde MIVB-ticket?,60 minuten,"Met een standaard MIVB-ticket in Brussel mag je tot 60 minuten overstappen tussen tram-, bus- en metroverbindingen binnen dezelfde reisrichting. Dit betekent dat je binnen dat tijdsbestek meerdere keren kunt overstappen, zolang je niet de richting verandert. Zorg ervoor dat je ticket geldig is voor de zones die je reist en dat je binnen de tijdslimiet blijft. Voor specifieke soorten tickets of andere voorwaarden, is het altijd goed om de meest recente informatie op de MIVB-website te bekijken.",CORRECT,States 60 minutes for transfers - matches.
a4a8c96e-c467-4b15-9a87-8c9023cc95d1,Quel est le montant maximum facturé par jour en paiement sans contact chez STIB ?,"8,50 €","À la STIB (Société des Transports Intercommunaux de Bruxelles), le montant maximum pouvant être facturé par jour en paiement sans contact est de 7,50 euros. Ce montant est applicable pour les trajets effectués en une journée. Veuillez vérifier les informations les plus récentes sur le site officiel de la STIB, car les conditions peuvent évoluer.",INCORRECT,States 7.50 EUR instead of 8.50 EUR.
1028b328-7aac-4393-be31-2677ce7aee88,Wat is het maximumbedrag per dag bij contactloos betalen bij de MIVB?,"€ 8,50","Bij de MIVB (Brusselse vervoersmaatschappij) geldt een maximumbedrag voor contactloos betalen van 7,00 euro per rit. Dit bedrag kan echter variëren afhankelijk van de specifieke dienst of het type kaart. Het is altijd goed om de meest recente informatie op de officiële website van de MIVB te controleren, aangezien regels en bedragen kunnen veranderen.",INCORRECT,States 7.00 EUR per trip instead of the 8.50 EUR daily cap.
d351f2ed-6df9-40e7-9476-4bb6c8455387,Hoelang is een MOBIB-kaart geldig?,5 jaar,"Een MOBIB-kaart is meestal 5 jaar geldig. Dit geldt voor zowel de persoonlijke als de anonieme MOBIB-kaarten. Het is belangrijk om de vervaldatum op je kaart te controleren, omdat de kaart na deze datum niet meer gebruikt kan worden voor reizen. Na het verstrijken van de geldigheid kan je een nieuwe kaart aanvragen.",CORRECT,States 5 years - matches.
65c31429-83f5-4a1f-9419-96ac30a3d94e,Combien coûte une carte MOBIB rechargeable ?,6 €,"Le prix d'une carte MOBIB rechargeable en Belgique est généralement de 5 euros. Cependant, il est possible que des frais supplémentaires s'appliquent selon le point de vente ou si vous achetez une carte à usage spécifique. Pour obtenir les informations les plus précises et à jour, il est conseillé de consulter le site web de la STIB ou de la SNCB, ou de se renseigner directement auprès des points de vente.",INCORRECT,States 5 EUR instead of 6 EUR.
a3c1935a-48d8-4d67-a907-f54e424de187,Hoeveel kost een herlaadbare MOBIB-kaart?,€ 6,"Een herlaadbare MOBIB-kaart kost doorgaans €5 in België. Dit is de prijs voor de kaart zelf. Daarnaast moet je rekening houden met eventuele kosten voor het laden van een ticket of abonnement op de kaart. Het is ook mogelijk dat er bijkomende kosten zijn, afhankelijk van de specifieke vervoersmaatschappij of het type abonnement dat je wilt aanschaffen. Voor de meest actuele informatie is het aan te raden om de officiële website van de vervoersmaatschappij te raadplegen.",INCORRECT,States 5 EUR instead of 6 EUR.
dfd0f49f-fd78-4d21-b04d-02aa079cdf2f,Combien de titres de transport peut-on charger sur une carte MOBIB ?,8 titres,"Sur une carte MOBIB, vous pouvez charger plusieurs types de titres de transport, en fonction de l'utilisation et des besoins. En général, il est possible de charger différents abonnements (comme des abonnements mensuels ou annuels) ainsi que des tickets à l'unité. Cependant, le nombre exact de titres que vous pouvez charger en même temps peut varier.

Pour les informations les plus récentes et précises, il est recommandé de consulter le site officiel des transports en commun de votre région ou de contacter le service client.",NOT_STATED,Exact number 8 not stated; only says several titles can be loaded.
08412da5-4bdf-4ae9-b872-7cd30bd6825b,Hoeveel vervoerbewijzen kan je op een MOBIB-kaart laden?,8 vervoerbewijzen,"Op een MOBIB-kaart kun je meerdere vervoerbewijzen laden, afhankelijk van het type kaart en het soort vervoerbewijs. Voor een persoonlijke MOBIB-kaart, die is gekoppeld aan een specifieke gebruiker, kun je vaak verschillende abonnementen en losse tickets tegelijk laden. De exacte capaciteit kan variëren, dus het is raadzaam om de website van de vervoersmaatschappij (zoals de NMBS voor treinreizen of de STIB/MIVB voor het openbaar vervoer in Brussel) te raadplegen voor de meest actuele informatie over wat er precies mogelijk is op jouw MOBIB-kaart.",NOT_STATED,Exact number 8 not stated; answer leaves the count undefined.
e3a9f022-6d5b-48fc-bbcd-89e863505a07,Quel est le montant de l'amende STIB pour absence de titre de transport valable ?,107 €,"En date de ma dernière mise à jour, le montant de l'amende pour absence de titre de transport valable avec la STIB (Société des Transports Intercommunaux de Bruxelles) est généralement de 60 euros. Toutefois, si l'amende est réglée rapidement, il peut y avoir une réduction, portant le montant à 30 euros si elle est payée dans un délai déterminé.

Pour obtenir des informations précises et actualisées, je vous recommande de consulter le site officiel de la STIB ou de contacter leur service clientèle.",INCORRECT,States 60 EUR instead of 107 EUR.
51c44000-78ff-4e26-a3d3-85afdf7fa0e8,Hoeveel bedraagt de MIVB-boete als je geen geldig vervoerbewijs hebt?,€ 107,"De MIVB (Maatschappij voor het Intercommunaal Vervoer te Brussel) hanteert een boete voor reizigers die zonder geldig vervoerbewijs reizen. De standaard boete bedraagt meestal rond de 50 euro, maar deze kan variëren afhankelijk van specifieke omstandigheden of wijzigingen in het beleid. Het is altijd het beste om de officiële MIVB-website te raadplegen of contact op te nemen met hun klantenservice voor de meest actuele en nauwkeurige informatie over boetes en voorwaarden.",INCORRECT,States about 50 EUR instead of 107 EUR.
07c69248-dde4-428e-9163-7d9d07e298cc,Quel est le montant de la deuxième amende STIB reçue dans les 24 mois ?,214 €,"Je suis désolé, mais je n'ai pas accès aux informations en temps réel, telles que les amendes spécifiques reçues par des individus ou les montants de ces amendes. Pour des informations sur la STIB (Société des Transports Intercommunaux de Bruxelles) et les amendes, je vous recommande de consulter le site web officiel de la STIB ou de contacter leur service client.",NOT_STATED,Amount of the second fine is not stated.
3569d8ac-22e2-4bd5-a45f-9f78184a837a,Hoeveel bedraagt de tweede MIVB-boete binnen 24 maanden?,€ 214,De tweede MIVB-boete binnen 24 maanden bedraagt 9.000 euro. Dit bedrag is van toepassing als de vervoersmaatschappij binnen deze periode opnieuw een overtreding begaat na al een boete te hebben gekregen.,INCORRECT,"States 9,000 EUR instead of 214 EUR."
1ba306d2-6523-4006-bf7e-b0fb89cd35c7,Quelle amende s'applique si j'utilise la carte MOBIB de quelqu'un d'autre ?,408 €,"En Belgique, l'utilisation de la carte MOBIB d'une autre personne est considérée comme une fraude. Les sanctions peuvent varier en fonction de la situation, mais généralement, vous risquez une amende qui peut aller de 100 à 500 euros, voire plus, en fonction des circonstances. De plus, vous pourriez également être soumis à des poursuites judiciaires. Il est important de se rappeler que la carte MOBIB est personnelle et que son utilisation doit respecter les règles établies par les autorités de transport. Pour éviter des complications, il vaut mieux toujours utiliser sa propre carte.",INCORRECT,Gives a 100-500 EUR range instead of the specific 408 EUR.
4521bae1-6f36-458d-a7ad-eb763dff8957,Welke boete geldt als ik iemand anders zijn MOBIB-kaart gebruik?,€ 408,"Als je iemand anders zijn MOBIB-kaart gebruikt in België, kan dat als fraude worden beschouwd. De exacte boete kan variëren afhankelijk van de specifieke omstandigheden en de regels van de betreffende vervoersmaatschappij (zoals de NMBS, STIB/MIVB, of de TEC). Over het algemeen kan je een boete krijgen die kan oplopen tot €200 of meer, naast de verplichting om de juiste vervoerskosten te betalen.

Daarnaast kan het gebruik van een andermans kaart leiden tot een registratie van het incident, wat mogelijk invloed heeft op toekomstige reisverboden of andere sancties. Het is dus belangrijk om altijd je eigen vervoersbewijs te gebruiken en de regels van de vervoersmaatschappij na te leven.",INCORRECT,States up to 200 EUR or more instead of 408 EUR.
d29126d4-1aae-4c99-851a-f3ba9ecbb09c,Combien coûte un ticket digital Brupass pour un voyage ?,"2,70 €","Le prix d'un ticket digital Brupass peut varier en fonction de plusieurs facteurs, notamment la destination, le type de ticket (aller simple, aller-retour, etc.) et les réductions éventuelles pour les jeunes, les seniors ou les groupes. Pour obtenir le tarif exact et les options disponibles, il est conseillé de consulter le site officiel de Brupass ou l'application mobile associée. Si tu as une destination ou un type de ticket spécifique en tête, je peux essayer de te donner un aperçu plus précis.",NOT_STATED,Price 2.70 EUR not stated; answer says the fare depends on factors.
afaf690f-2e45-47c1-9007-dece5d241271,Quelle est l'amende si j'ai un abonnement valable mais non validé ?,10 €,"En général, les règlements concernant la validation des abonnements peuvent varier en fonction du réseau de transport ou de la région dans laquelle vous vous trouvez. Dans beaucoup de cas, si vous utilisez un abonnement valide mais non validé, cela peut être considéré comme une infraction aux règles de mobilité. Les amendes peuvent alors aller de 30 à 200 euros, selon les politiques du réseau de transport.

Il est toujours conseillé de vérifier les règles spécifiques du réseau de transport que vous utilisez, ainsi que les conditions de votre abonnement, pour éviter ce genre de situation et les éventuelles pénalités associées.",INCORRECT,Gives a 30-200 EUR range instead of 10 EUR.
074161ce-29e8-4f50-9ec5-02d615eb1828,Wat is de boete als ik een geldig abonnement heb maar niet gevalideerd?,€ 10,"De boete voor het niet valideren van een geldig abonnement kan variëren afhankelijk van het vervoersbedrijf en de specifieke regels die ze hanteren. In Nederland, bijvoorbeeld, kan het OV in sommige gevallen een boete opleggen als je je abonnement niet valideert, zelfs als je wel een geldig abonnement hebt. De boete kan enkele tientallen euro's bedragen.

Het is altijd het beste om de voorwaarden en regels van het specifieke vervoersbedrijf te raadplegen of contact met hen op te nemen voor de meest accurate en actuele informatie.",NOT_STATED,STIB amount of 10 EUR not stated; gives a generic Netherlands example.
da452761-8f63-4bf0-af22-4c74f145f865,Combien coûte un duplicata de carte MOBIB personnelle ?,10 €,"Le coût d'un duplicata de carte MOBIB personnelle varie selon les opérateurs de transport. En général, il se situe autour de 5 à 10 euros, mais il est conseillé de vérifier directement sur le site de la STIB ou de l'organisme de transport concerné pour obtenir les informations les plus récentes et précises.",NOT_STATED,Exact STIB fare of 10 EUR not given; only a generic 5-10 EUR range.
